date,SPY,WMT,JPM
1971-07-21,,,-0.011312
1971-07-22,,,-0.006865
1971-07-23,,,0.004608
1971-07-26,,,-0.004587
1971-07-27,,,0.011521
1971-07-28,,,0.0
1971-07-29,,,-0.006834
1971-07-30,,,-0.018349
1971-08-02,,,-0.028037
1971-08-03,,,0.007212
1971-08-04,,,0.023866
1971-08-05,,,-0.006993
1971-08-06,,,-0.004695
1971-08-09,,,-0.014151
1971-08-10,,,0.014354
1971-08-11,,,-0.004717
1971-08-12,,,0.0
1971-08-13,,,-0.007109
1971-08-16,,,0.019093
1971-08-17,,,0.014052
1971-08-18,,,-0.023095
1971-08-19,,,0.009456
1971-08-20,,,0.01171
1971-08-23,,,-0.009259
1971-08-24,,,0.014019
1971-08-25,,,0.009217
1971-08-26,,,-0.009132
1971-08-27,,,-0.004608
1971-08-30,,,0.002315
1971-08-31,,,0.002309
1971-09-01,,,0.004608
1971-09-02,,,0.009174
1971-09-03,,,0.004545
1971-09-07,,,0.00905
1971-09-08,,,0.017937
1971-09-09,,,0.003877
1971-09-10,,,-0.006667
1971-09-13,,,-0.008949
1971-09-14,,,-0.006772
1971-09-15,,,-0.018182
1971-09-16,,,0.009259
1971-09-17,,,0.022936
1971-09-20,,,0.004484
1971-09-21,,,-0.004464
1971-09-22,,,0.002242
1971-09-23,,,-0.006711
1971-09-24,,,-0.002252
1971-09-27,,,-0.004515
1971-09-28,,,0.002268
1971-09-29,,,-0.002262
1971-09-30,,,0.0
1971-10-01,,,0.002268
1971-10-04,,,-0.004525
1971-10-05,,,-0.004545
1971-10-06,,,0.018265
1971-10-07,,,0.004484
1971-10-08,,,-0.03125
1971-10-11,,,0.004608
1971-10-12,,,0.002294
1971-10-13,,,-0.002288
1971-10-14,,,-0.002294
1971-10-15,,,-0.016092
1971-10-18,,,0.004673
1971-10-19,,,-0.006977
1971-10-20,,,-0.009368
1971-10-21,,,-0.002364
1971-10-22,,,0.004739
1971-10-25,,,0.002358
1971-10-26,,,0.004706
1971-10-27,,,-0.016393
1971-10-28,,,0.007143
1971-10-29,,,-0.007092
1971-11-01,,,-0.016667
1971-11-02,,,0.016949
1971-11-03,,,0.016667
1971-11-04,,,0.0
1971-11-05,,,-0.009368
