date,P,D
1986-05-30,14.25,0.0
1986-06-02,14.375,0.0
1986-06-03,13.625,0.0
1986-06-04,13.375,0.0
1986-06-05,13.125,0.0
1986-06-06,13.125,0.0
1986-06-09,12.5,0.0
1986-06-10,12.25,0.0
1986-06-11,13.0,0.0
1986-06-12,13.25,0.0
1986-06-13,13.5,0.0
1986-06-16,13.125,0.0
1986-06-17,12.0,0.0
1986-06-18,11.75,0.0
1986-06-19,12.0,0.0
1986-06-20,12.125,0.0
1986-06-23,12.0,0.0
1986-06-24,12.0,0.0
1986-06-25,12.75,0.0
1986-06-26,12.75,0.0
1986-06-27,12.875,0.0
1986-06-30,12.625,0.0
1986-07-01,13.25,0.0
1986-07-02,13.75,0.0
1986-07-03,13.875,0.0
1986-07-07,13.25,0.0
1986-07-08,13.0,0.0
1986-07-09,12.75,0.0
1986-07-10,12.75,0.0
1986-07-11,12.75,0.0
1986-07-14,13.125,0.0
1986-07-15,11.75,0.0
1986-07-16,11.875,0.0
1986-07-17,12.625,0.0
1986-07-18,12.25,0.0
1986-07-21,12.625,0.0
1986-07-22,12.625,0.0
1986-07-23,12.5,0.0
1986-07-24,11.875,0.0
1986-07-25,12.125,0.0
1986-07-28,12.125,0.0
1986-07-29,11.375,0.0
1986-07-30,11.375,0.0
1986-07-31,11.25,0.0
1986-08-01,11.125,0.0
1986-08-04,10.5,0.0
1986-08-05,10.0,0.0
1986-08-06,9.25,0.0
1986-08-07,10.0,0.0
1986-08-08,10.0,0.0
1986-08-11,9.875,0.0
1986-08-12,9.75,0.0
1986-08-13,10.125,0.0
1986-08-14,11.0,0.0
1986-08-15,10.875,0.0
1986-08-18,11.375,0.0
1986-08-19,11.125,0.0
1986-08-20,11.0,0.0
1986-08-21,10.875,0.0
1986-08-22,10.375,0.0
1986-08-25,10.125,0.0
1986-08-26,10.0,0.0
1986-08-27,10.0,0.0
1986-08-28,9.875,0.0
1986-08-29,9.875,0.0
1986-09-02,9.875,0.0
1986-09-03,9.625,0.0
1986-09-04,9.75,0.0
1986-09-05,10.125,0.0
1986-09-08,10.0,0.0
1986-09-09,9.625,0.0
1986-09-10,9.625,0.0
1986-09-11,9.125,0.0
1986-09-12,8.875,0.0
1986-09-15,8.875,0.0
1986-09-16,8.75,0.0
1986-09-17,9.0,0.0
1986-09-18,9.25,0.0
1986-09-19,9.625,0.0
1986-09-22,9.75,0.0
1986-09-23,9.5,0.0
1986-09-24,9.625,0.0
1986-09-25,9.375,0.0
1986-09-26,9.375,0.0
1986-09-29,9.5,0.0
1986-09-30,9.25,0.0
1986-10-01,9.25,0.0
1986-10-02,9.25,0.0
1986-10-03,9.0,0.0
1986-10-06,8.875,0.0
1986-10-07,8.125,0.0
1986-10-08,7.875,0.0
1986-10-09,7.875,0.0
1986-10-10,7.75,0.0
1986-10-13,7.875,0.0
1986-10-14,8.0,0.0
1986-10-15,8.25,0.0
1986-10-16,8.5,0.0
1986-10-17,8.25,0.0
1986-10-20,7.75,0.0
1986-10-21,7.875,0.0
1986-10-22,8.0,0.0
1986-10-23,8.375,0.0
1986-10-24,8.5,0.0
1986-10-27,8.5,0.0
1986-10-28,8.25,0.0
1986-10-29,8.5,0.0
1986-10-30,8.625,0.0
1986-10-31,8.625,0.0
1986-11-03,8.625,0.0
1986-11-04,8.5,0.0
1986-11-05,8.5,0.0
1986-11-06,8.625,0.0
1986-11-07,8.5,0.0
1986-11-10,8.25,0.0
1986-11-11,8.375,0.0
1986-11-12,8.5,0.0
1986-11-13,8.5,0.0
1986-11-14,8.875,0.0
1986-11-17,8.625,0.0
1986-11-18,8.5,0.0
1986-11-19,8.25,0.0
1986-11-20,8.375,0.0
1986-11-21,8.375,0.0
1986-11-24,8.375,0.0
1986-11-25,8.5,0.0
1986-11-26,8.25,0.0
1986-11-28,8.25,0.0
1986-12-01,8.125,0.0
1986-12-02,8.5,0.0
1986-12-03,8.75,0.0
1986-12-04,8.875,0.0
1986-12-05,8.75,0.0
1986-12-08,8.5,0.0
1986-12-09,8.75,0.0
1986-12-10,8.875,0.0
1986-12-11,9.0,0.0
1986-12-12,9.25,0.0
1986-12-15,9.125,0.0
1986-12-16,9.125,0.0
1986-12-17,9.0,0.0
1986-12-18,9.125,0.0
1986-12-19,9.0,0.0
1986-12-22,9.0,0.0
1986-12-23,9.0,0.0
1986-12-24,9.125,0.0
1986-12-26,9.0,0.0
1986-12-29,9.0,0.0
1986-12-30,8.875,0.0
1986-12-31,8.375,0.0
1987-01-02,8.625,0.0
1987-01-05,8.75,0.0
1987-01-06,8.75,0.0
1987-01-07,8.75,0.0
1987-01-08,8.625,0.0
1987-01-09,8.625,0.0
1987-01-12,8.75,0.0
1987-01-13,8.375,0.0
1987-01-14,8.25,0.0
1987-01-15,8.5,0.0
1987-01-16,8.125,0.0
1987-01-19,8.125,0.0
1987-01-20,7.875,0.0
1987-01-21,7.125,0.0
1987-01-22,7.375,0.0
1987-01-23,7.5,0.0
1987-01-26,7.25,0.0
1987-01-27,7.25,0.0
1987-01-28,6.875,0.0
1987-01-29,7.0,0.0
1987-01-30,7.0,0.0
1987-02-02,7.5,0.0
1987-02-03,7.875,0.0
1987-02-04,8.25,0.0
1987-02-05,8.625,0.0
1987-02-06,8.375,0.0
1987-02-09,8.5,0.0
1987-02-10,8.375,0.0
1987-02-11,8.375,0.0
1987-02-12,7.75,0.0
1987-02-13,8.125,0.0
1987-02-17,8.5,0.0
1987-02-18,8.5,0.0
1987-02-19,8.0,0.0
1987-02-20,8.25,0.0
1987-02-23,8.125,0.0
1987-02-24,8.125,0.0
1987-02-25,7.5,0.0
1987-02-26,7.5,0.0
1987-02-27,7.625,0.0
1987-03-02,7.625,0.0
1987-03-03,7.5,0.0
1987-03-04,8.125,0.0
1987-03-05,8.375,0.0
1987-03-06,8.375,0.0
1987-03-09,8.625,0.0
1987-03-10,8.75,0.0
1987-03-11,8.875,0.0
1987-03-12,8.75,0.0
1987-03-13,8.75,0.0
1987-03-16,8.625,0.0
1987-03-17,8.625,0.0
1987-03-18,8.75,0.0
1987-03-19,8.75,0.0
1987-03-20,8.75,0.0
1987-03-23,8.5,0.0
1987-03-24,8.125,0.0
1987-03-25,8.0,0.0
1987-03-26,8.0,0.0
1987-03-27,8.0,0.0
1987-03-30,7.875,0.0
1987-03-31,7.875,0.0
1987-04-01,7.875,0.0
1987-04-02,7.75,0.0
1987-04-03,7.75,0.0
1987-04-06,7.875,0.0
1987-04-07,7.75,0.0
1987-04-08,7.75,0.0
1987-04-09,7.75,0.0
1987-04-10,7.75,0.0
1987-04-13,7.5,0.0
1987-04-14,6.875,0.0
1987-04-15,7.125,0.0
1987-04-16,6.75,0.0
1987-04-20,6.75,0.0
1987-04-21,6.75,0.0
1987-04-22,6.75,0.0
1987-04-23,6.625,0.0
1987-04-24,6.25,0.0
1987-04-27,5.875,0.0
1987-04-28,5.625,0.0
1987-04-29,5.375,0.0
1987-04-30,5.0,0.0
1987-05-01,5.0,0.0
1987-05-04,6.375,0.0
1987-05-05,6.625,0.0
1987-05-06,6.25,0.0
1987-05-07,6.375,0.0
1987-05-08,6.25,0.0
1987-05-11,6.375,0.0
1987-05-12,6.25,0.0
1987-05-13,6.25,0.0
1987-05-14,6.25,0.0
1987-05-15,6.0,0.0
1987-05-18,6.0,0.0
1987-05-19,5.875,0.0
1987-05-20,5.875,0.0
1987-05-21,5.875,0.0
1987-05-22,5.875,0.0
1987-05-26,6.0,0.0
1987-05-27,5.875,0.0
1987-05-28,5.875,0.0
1987-05-29,5.625,0.0
1987-06-01,5.875,0.0
1987-06-02,5.875,0.0
1987-06-03,6.125,0.0
1987-06-04,6.25,0.0
1987-06-05,5.875,0.0
1987-06-08,6.0,0.0
1987-06-09,5.875,0.0
1987-06-10,5.875,0.0
1987-06-11,5.875,0.0
1987-06-12,5.875,0.0
1987-06-15,5.75,0.0
1987-06-16,5.875,0.0
1987-06-17,5.625,0.0
1987-06-18,5.875,0.0
1987-06-19,5.875,0.0
1987-06-22,6.125,0.0
1987-06-23,6.125,0.0
1987-06-24,6.75,0.0
1987-06-25,7.0,0.0
1987-06-26,6.875,0.0
1987-06-29,6.625,0.0
1987-06-30,6.625,0.0
1987-07-01,6.75,0.0
1987-07-02,6.625,0.0
1987-07-06,6.25,0.0
1987-07-07,6.125,0.0
1987-07-08,6.25,0.0
1987-07-09,5.625,0.0
1987-07-10,5.75,0.0
1987-07-13,6.0,0.0
1987-07-14,6.0,0.0
1987-07-15,6.0,0.0
1987-07-16,6.125,0.0
1987-07-17,6.125,0.0
1987-07-20,6.25,0.0
1987-07-21,5.875,0.0
1987-07-22,5.625,0.0
1987-07-23,5.75,0.0
1987-07-24,5.625,0.0
1987-07-27,5.875,0.0
1987-07-28,5.75,0.0
1987-07-29,5.75,0.0
1987-07-30,5.75,0.0
1987-07-31,5.875,0.0
1987-08-03,5.625,0.0
1987-08-04,5.625,0.0
1987-08-05,5.5,0.0
1987-08-06,5.375,0.0
1987-08-07,5.25,0.0
1987-08-10,5.125,0.0
1987-08-11,5.125,0.0
1987-08-12,5.25,0.0
1987-08-13,5.375,0.0
1987-08-14,5.125,0.0
1987-08-17,5.125,0.0
1987-08-18,5.125,0.0
1987-08-19,5.125,0.0
1987-08-20,5.25,0.0
1987-08-21,5.125,0.0
1987-08-24,5.0,0.0
1987-08-25,5.0,0.0
1987-08-26,5.0,0.0
1987-08-27,5.125,0.0
1987-08-28,4.875,0.0
1987-08-31,4.875,0.0
1987-09-01,5.0,0.0
1987-09-02,5.0,0.0
1987-09-03,5.125,0.0
1987-09-04,5.0,0.0
1987-09-08,5.125,0.0
1987-09-09,5.5,0.0
1987-09-10,6.125,0.0
1987-09-11,6.375,0.0
1987-09-14,6.375,0.0
1987-09-15,6.25,0.0
1987-09-16,6.5,0.0
1987-09-17,6.5,0.0
1987-09-18,6.625,0.0
1987-09-21,6.125,0.0
1987-09-22,6.375,0.0
1987-09-23,6.25,0.0
1987-09-24,6.25,0.0
1987-09-25,6.375,0.0
1987-09-28,6.0,0.0
1987-09-29,5.875,0.0
1987-09-30,6.0,0.0
1987-10-01,5.75,0.0
1987-10-02,6.0,0.0
1987-10-05,6.125,0.0
1987-10-06,6.125,0.0
1987-10-07,6.125,0.0
1987-10-08,5.875,0.0
1987-10-09,5.875,0.0
1987-10-12,5.75,0.0
1987-10-13,6.0,0.0
1987-10-14,6.0,0.0
1987-10-15,5.875,0.0
1987-10-16,5.5,0.0
1987-10-19,4.75,0.0
1987-10-20,3.125,0.0
1987-10-21,4.0,0.0
1987-10-22,3.625,0.0
1987-10-23,3.5,0.0
1987-10-26,3.5,0.0
1987-10-27,3.5,0.0
1987-10-28,3.625,0.0
1987-10-29,3.875,0.0
1987-10-30,4.0,0.0
1987-11-02,4.0,0.0
1987-11-03,3.25,0.0
1987-11-04,3.375,0.0
1987-11-05,3.625,0.0
1987-11-06,3.5,0.0
1987-11-09,3.375,0.0
1987-11-10,3.25,0.0
1987-11-11,3.125,0.0
1987-11-12,3.125,0.0
1987-11-13,3.125,0.0
1987-11-16,2.875,0.0
1987-11-17,2.75,0.0
1987-11-18,2.875,0.0
1987-11-19,2.875,0.0
1987-11-20,2.875,0.0
1987-11-23,3.0,0.0
1987-11-24,3.25,0.0
1987-11-25,3.5625,0.0
1987-11-27,3.75,0.0
1987-11-30,3.75,0.0
1987-12-01,3.625,0.0
1987-12-02,3.25,0.0
1987-12-03,2.875,0.0
1987-12-04,2.875,0.0
1987-12-07,2.875,0.0
1987-12-08,3.0,0.0
1987-12-09,3.25,0.0
1987-12-10,3.0,0.0
1987-12-11,3.125,0.0
1987-12-14,3.125,0.0
1987-12-15,3.75,0.0
1987-12-16,3.875,0.0
1987-12-17,3.75,0.0
1987-12-18,3.75,0.0
1987-12-21,3.625,0.0
1987-12-22,3.625,0.0
